7,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
6,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,0,0,3
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,10,0,0,3
6,1,1,6,6,6,6,6,6,6,6,6,6,6,9,0,0,0,0,3
9,0,0,3,6,6,6,6,6,6,6,6,6,6,9,0,0,0,0,3
9,0,0,3,6,6,6,6,6,6,6,6,6,6,10,0,0,0,0,3
9,0,0,3,6,6,6,6,6,6,6,6,9,0,0,0,0,7,5,6
9,0,0,3,6,6,6,6,6,6,6,6,9,0,0,0,0,3,6,6
9,0,0,3,6,6,6,6,6,6,6,6,9,0,0,7,4,6,6,6
9,0,0,3,6,6,6,6,6,6,6,6,9,0,0,0,0,3,6,6
9,0,0,3,6,6,6,6,6,6,6,6,9,0,0,0,0,3,6,6
9,0,0,2,1,1,1,1,1,1,1,1,1,4,4,0,0,3,6,6
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
